nthreads,energy,time
35,845.85,6.88984
36,817.75,6.60176
37,799.5,6.43965
38,778.4,6.25162
39,774.1,6.21148
40,752.8,5.99726
41,738.35,5.84263
42,735.65,5.80931
43,719.3,5.64223
44,691.35,5.40087
45,688.05,5.33691
46,671.05,5.20924
47,678.05,5.23889
48,660.9,5.08276
49,643.25,4.94044
50,630.65,4.84216
51,616.2,4.68725
52,609.35,4.59505
53,615.6,4.64076
54,599.3,4.47669
55,601.7,4.48864
56,594.75,4.4261
57,582.35,4.33773
58,568,4.20463
59,559.15,4.15772
60,543.6,4.04533
61,538,3.98581
62,532.35,3.93265
63,520.6,3.85605
64,521,3.83711
65,511.7,3.80443
66,498.1,3.7128
67,490.65,3.64095
68,492.95,3.63202
69,479.05,3.53168
70,472.9,3.49648
71,478.7,3.55216
72,467.45,3.43175
73,460.1,3.39694
74,457.9,3.41453
75,457.5,3.39453
76,445.25,3.30929
77,444.6,3.27635
78,438,3.25292
79,431.8,3.19309
80,425.8,3.14463
81,425.55,3.15598
82,415.2,3.05642
83,411.6,3.06135
84,406.95,2.98265
85,406.55,3.00761
86,401.45,2.94873
87,394.55,2.9063
88,400.2,2.93453
89,385.2,2.85869
90,382.05,2.7974
91,381.4,2.78613
92,380.1,2.78591
93,380.6,2.78529
94,378.4,2.78474
95,367.65,2.73928
96,373.4,2.72904
97,371,2.7298
98,367.05,2.72418
99,367.05,2.72606
100,359.2,2.72464
101,360.4,2.72997
102,368.6,2.776
103,364,2.73099
104,372.4,2.73157
105,374,2.77868
106,375.8,2.72872
107,375.45,2.73273
108,375,2.73067
109,372.85,2.73082
110,373.7,2.77652
111,373.35,2.77504
112,384.65,2.77977
113,382.25,2.78161
114,376.6,2.77774
115,383.7,2.78025
116,374.8,2.77524
117,378.25,2.77494
118,377.75,2.77927
119,351,2.6156
120,341.6,2.55751
121,367,2.69175
122,336.45,2.51294
123,348.15,2.53426
124,374.55,2.72491
125,379.4,2.82474
126,380.75,2.78153
127,362.45,2.6625
128,384.3,2.7823
129,365.05,2.71158
130,375.65,2.75744
131,354.5,2.58019
132,332.25,2.45741
133,323.25,2.39559
134,335.2,2.48944
135,331.25,2.43032
136,324.35,2.39463
137,319.3,2.34678
138,344.3,2.55575
139,330.05,2.45798
140,311,2.29841
141,305.85,2.2435
142,322.75,2.39949
143,306.6,2.23013
144,309.85,2.29615
145,324.1,2.38399
146,308.6,2.27478
147,306.6,2.22946
148,304.75,2.23534
149,307.05,2.27505
150,295.15,2.20551
151,295.9,2.19314
152,304.45,2.25521
153,301.8,2.24237
154,298.25,2.21648
155,305.95,2.23463
156,304,2.25468
157,297.25,2.19491
158,311.1,2.27491
159,304.1,2.24153
160,289.65,2.15316
161,291.15,2.15691
162,291.3,2.15611
163,296.55,2.18959
164,297.1,2.20291
165,296,2.21695
166,295.55,2.19287
167,290.55,2.12915
168,284.95,2.09062
169,291.8,2.13012
170,292.9,2.21135
171,293.8,2.17956
172,287.15,2.15581
173,290.65,2.14243
174,290.35,2.15223
175,290.35,2.15857
176,283.9,2.10955
177,286,2.0731
178,286.2,2.14995
179,291.95,2.12989
180,283.4,2.1
181,283.25,2.10144
182,282,2.10231
183,295.8,2.18072
184,291.15,2.12628
185,290.2,2.12667
186,284.55,2.1059
187,289.15,2.1241
188,285.55,2.09421
189,285.55,2.15572
190,289.25,2.12931
191,288.6,2.14868
192,285.05,2.10765
193,280.85,2.10307
194,286.05,2.13114
195,282.3,2.08873
196,268.9,2.01347
197,277.3,2.11286
198,270.45,2.0352
199,266.85,2.03959
200,262.65,1.98607
201,261.35,1.9914
202,266.85,2.05565
203,270.85,2.05296
204,278.75,2.0792
205,286.65,2.13387
206,281.85,2.08771
207,274.8,2.03626
208,284.5,2.0795
209,284.3,2.09187
210,282.7,2.09932
211,276.8,2.03941
212,280.2,2.07914
213,269.5,2.04775
214,266.15,2.00451
215,275.7,2.02695
216,266.15,1.9952
217,276.05,2.03988
218,271.55,2.03623
219,274.65,2.02627
220,274,2.03384
221,268.7,2.00119
222,267.65,1.98583
223,271.6,2.03007
224,267.3,2.01073
225,261.65,1.95982
226,267.9,2.06119
227,268.95,1.98438
228,277.05,2.04818
1,23924.2,234.098
2,12003.9,115.75
3,8340.8,79.3463
4,6113.55,57.7906
5,5023.2,46.9575
6,4143.8,38.3459
7,3613.7,33.1905
8,3241.6,29.6383
9,2908.55,26.4412
10,2632.3,23.7636
11,2362.85,21.1649
12,2176.2,19.3566
13,2040.3,18.0541
14,1898,16.6306
15,1794.65,15.6317
16,1667.65,14.463
17,1576.3,13.6477
18,1493.9,12.8389
19,1424.45,12.1603
20,1363.2,11.5497
21,1321.5,11.1555
22,1260.1,10.6069
23,1250.15,10.4452
24,1187.95,9.83487
25,1128.95,9.30774
26,1105,9.05593
27,1057.95,8.59702
28,1032.75,8.34952
29,997.15,8.01408
30,958.1,7.70694
31,951.7,7.64208
32,918.25,7.347
33,894.55,7.15216
34,872.05,6.93411
35,863.7,6.79464
36,830.3,6.5127
37,825.95,6.43681
38,791.8,6.15163
39,762.75,5.91009
40,758.05,5.85854
